year,pick,player_name,profile_url
2013,15,Giannis Antetokounmpo,https://www.basketball-reference.com/players/a/antetgi01.html
2013,16,Lucas Nogueira,https://www.basketball-reference.com/players/n/noguelu01.html
2013,17,Dennis Schröder,https://www.basketball-reference.com/players/s/schrode01.html
2013,18,Shane Larkin,https://www.basketball-reference.com/players/l/larkish01.html
2013,19,Sergey Karasev,https://www.basketball-reference.com/players/k/karasse01.html
2013,20,Tony Snell,https://www.basketball-reference.com/players/s/snellto01.html
2013,21,Gorgui Dieng,https://www.basketball-reference.com/players/d/dienggo01.html
2013,22,Mason Plumlee,https://www.basketball-reference.com/players/p/plumlma01.html
2013,23,Solomon Hill,https://www.basketball-reference.com/players/h/hillso01.html
2013,24,Tim Hardaway Jr.,https://www.basketball-reference.com/players/h/hardati02.html
2013,25,Reggie Bullock,https://www.basketball-reference.com/players/b/bullore01.html
2013,26,Andre Roberson,https://www.basketball-reference.com/players/r/roberan03.html
2013,27,Rudy Gobert,https://www.basketball-reference.com/players/g/goberru01.html
2013,28,Livio Jean-Charles,https://www.basketball-reference.com/players/j/jeancli01.html
2013,29,Archie Goodwin,https://www.basketball-reference.com/players/g/goodwar01.html
2013,30,Nemanja Nedović,https://www.basketball-reference.com/players/n/nedovne01.html
2013,31,Allen Crabbe,https://www.basketball-reference.com/players/c/crabbal01.html
2013,32,Álex Abrines,https://www.basketball-reference.com/players/a/abrinal01.html
2013,33,Carrick Felix,https://www.basketball-reference.com/players/f/felixca01.html
2013,34,Isaiah Canaan,https://www.basketball-reference.com/players/c/canaais01.html
2013,35,Glen Rice Jr.,https://www.basketball-reference.com/players/r/ricegl02.html
2013,36,Ray McCallum,https://www.basketball-reference.com/players/m/mccalra01.html
2013,37,Tony Mitchell,https://www.basketball-reference.com/players/m/mitchto02.html
2013,38,Nate Wolters,https://www.basketball-reference.com/players/w/woltena01.html
2013,39,Jeff Withey,https://www.basketball-reference.com/players/w/witheje01.html
2013,40,Grant Jerrett,https://www.basketball-reference.com/players/j/jerregr01.html
2013,41,Jamaal Franklin,https://www.basketball-reference.com/players/f/frankja01.html
2013,42,Pierre Jackson,https://www.basketball-reference.com/players/j/jackspi01.html
2013,43,Ricky Ledo,https://www.basketball-reference.com/players/l/ledori01.html
2013,44,Mike Muscala,https://www.basketball-reference.com/players/m/muscami01.html
2013,45,Marko Todorović,https://www.basketball-reference.com/players/t/todorma01.html
2013,46,Erick Green,https://www.basketball-reference.com/players/g/greener01.html
2013,47,Raul Neto,https://www.basketball-reference.com/players/n/netora01.html
2013,48,Ryan Kelly,https://www.basketball-reference.com/players/k/kellyry01.html
2013,49,Erik Murphy,https://www.basketball-reference.com/players/m/murpher01.html
2013,50,James Ennis III,https://www.basketball-reference.com/players/e/ennisja01.html
2013,51,Romero Osby,https://www.basketball-reference.com/players/o/osbyro01.html
2013,52,Lorenzo Brown,https://www.basketball-reference.com/players/b/brownlo01.html
2013,53,Colton Iverson,https://www.basketball-reference.com/players/i/iversco01.html
2013,54,Arsalan Kazemi,https://www.basketball-reference.com/players/k/kazemar01.html
2013,55,Joffrey Lauvergne,https://www.basketball-reference.com/players/l/lauvejo01.html
2013,56,Peyton Siva,https://www.basketball-reference.com/players/s/sivape01.html
2013,57,Alex Oriakhi,https://www.basketball-reference.com/players/o/oriakal01.html
2013,58,Deshaun Thomas,https://www.basketball-reference.com/players/t/thomade01.html
2013,59,Bojan Dubljević,https://www.basketball-reference.com/players/d/dubljbo01.html
2013,60,Jānis Timma,https://www.basketball-reference.com/players/t/timmaja01.html
2014,1,Andrew Wiggins,https://www.basketball-reference.com/players/w/wiggian01.html
2014,2,Jabari Parker,https://www.basketball-reference.com/players/p/parkeja01.html
