year,pick,player_name,profile_url,career_ast_pct,career_stl_pct,career_blk_pct,career_bpm,career_obpm,career_dbpm,career_vorp,career_ws,career_ws48,career_per,career_ts_pct,career_usg_pct
2010,15,Larry Sanders,https://www.basketball-reference.com/players/s/sandela01.html,21.4,16.1,6.0,-2.8,10.3,0.107,1.8,1.8,8.5,113.0,4635.0,7.1
2010,16,Luke Babbitt,https://www.basketball-reference.com/players/b/babbilu01.html,15.9,9.0,6.4,-1.2,7.2,0.065,-1.0,3.9,3.3,107.0,5332.0,0.9
2010,17,Kevin Séraphin,https://www.basketball-reference.com/players/s/serapke01.html,16.8,12.8,6.5,-3.9,5.9,0.044,-0.4,-1.4,7.3,34.0,6430.0,3.7
2010,18,Eric Bledsoe,https://www.basketball-reference.com/players/b/bledser01.html,12.2,7.7,26.0,1.0,46.1,0.105,0.6,22.2,23.9,568.0,21021.0,1.4
2010,19,Avery Bradley,https://www.basketball-reference.com/players/b/bradlav01.html,8.9,5.7,9.6,-2.1,17.2,0.045,-0.3,0.3,16.9,544.0,18151.0,0.6
2010,20,James Anderson,https://www.basketball-reference.com/players/a/anderja01.html,11.7,7.1,10.0,-1.9,3.3,0.037,-0.8,0.9,2.4,83.0,4320.0,1.0
2010,21,Craig Brackins,https://www.basketball-reference.com/players/b/brackcr01.html,11.1,8.8,11.1,-6.8,-0.2,-0.089,-3.1,-0.3,0.1,1.0,121.0,0.6
2010,22,Elliot Williams,https://www.basketball-reference.com/players/w/williel01.html,9.5,6.0,9.8,-3.4,0.7,0.024,-1.6,0.2,0.5,2.0,1470.0,0.3
2010,23,Trevor Booker,https://www.basketball-reference.com/players/b/booketr01.html,19.6,15.1,8.4,-0.7,26.2,0.116,0.3,12.6,13.6,162.0,10872.0,2.0
2010,24,Damion James,https://www.basketball-reference.com/players/j/jamesda01.html,20.2,12.2,6.6,-4.5,0.0,-0.001,0.8,-0.7,0.7,17.0,623.0,2.5
2010,25,Dominique Jones,https://www.basketball-reference.com/players/j/jonesdo02.html,12.1,8.7,29.2,-2.3,0.3,0.017,-0.1,-0.5,0.8,4.0,741.0,1.1
2010,26,Quincy Pondexter,https://www.basketball-reference.com/players/p/pondequ01.html,9.3,6.7,7.1,-1.6,9.7,0.084,-0.2,5.2,4.5,48.0,5530.0,0.7
2010,27,Jordan Crawford,https://www.basketball-reference.com/players/c/crawfjo02.html,9.1,5.8,22.3,0.3,6.3,0.044,-1.6,1.8,4.6,99.0,6843.0,0.3
2010,28,Greivis Vásquez,https://www.basketball-reference.com/players/v/vasqugr01.html,11.1,6.3,33.5,0.3,12.6,0.064,-1.5,7.8,4.8,157.0,9520.0,0.3
2010,29,Daniel Orton,https://www.basketball-reference.com/players/o/ortonda01.html,16.2,13.0,6.5,-3.9,1.0,0.093,0.5,0.4,0.7,6.0,542.0,4.1
2010,30,Lazar Hayward,https://www.basketball-reference.com/players/h/haywala01.html,12.4,8.5,9.0,-2.9,0.2,0.02,-1.3,-0.1,0.3,0.0,591.0,1.0
2010,31,Tibor Pleiß,https://www.basketball-reference.com/players/p/pleisti01.html,12.8,10.7,4.0,-10.0,-0.1,-0.041,-1.6,-0.2,0.1,0.0,82.0,2.1
2010,32,Dexter Pittman,https://www.basketball-reference.com/players/p/pittmde01.html,16.9,15.3,4.2,-6.7,0.5,0.068,-1.0,0.0,0.5,6.0,347.0,1.9
2010,33,Hassan Whiteside,https://www.basketball-reference.com/players/w/whiteha01.html,33.9,24.1,4.2,1.4,52.0,0.197,1.1,26.0,26.0,332.0,12645.0,7.5
2010,34,Armon Johnson,https://www.basketball-reference.com/players/j/johnsar02.html,11.5,7.4,24.4,-2.8,-0.1,-0.015,-1.3,-0.3,0.2,0.0,401.0,0.2
2010,35,Nemanja Bjelica,https://www.basketball-reference.com/players/b/bjeline01.html,19.2,12.4,12.8,-0.2,20.0,0.104,0.5,11.1,8.8,162.0,9172.0,1.8
2010,36,Terrico White,https://www.basketball-reference.com/players/w/whitete01.html,,,,,,,,,,,,
2010,37,Darington Hobson,https://www.basketball-reference.com/players/h/hobsoda01.html,8.7,4.2,20.9,-8.4,-0.2,-0.225,-4.5,-0.2,0.0,0.0,39.0,0.0
2010,38,Andy Rautins,https://www.basketball-reference.com/players/r/rautian01.html,4.8,2.4,18.7,-8.0,-0.2,-0.314,-5.2,-0.2,0.0,0.0,24.0,0.0
2010,39,Landry Fields,https://www.basketball-reference.com/players/f/fieldla01.html,16.4,10.5,10.8,-0.6,10.5,0.084,0.3,4.7,5.8,176.0,6010.0,0.6
2010,40,Lance Stephenson,https://www.basketball-reference.com/players/s/stephla01.html,16.5,9.9,20.3,-1.6,17.5,0.066,0.3,1.5,16.0,200.0,12680.0,0.5
2010,41,Jarvis Varnado,https://www.basketball-reference.com/players/v/varnaja01.html,14.5,9.9,5.9,-4.4,0.7,0.089,1.1,0.3,0.4,0.0,397.0,6.2
2010,42,Da'Sean Butler,https://www.basketball-reference.com/players/b/butleda03.html,,,,,,,,,,,,
2010,43,Devin Ebanks,https://www.basketball-reference.com/players/e/ebankde01.html,10.7,9.6,5.2,-3.5,0.5,0.035,-1.3,-0.1,0.6,15.0,711.0,1.2
2010,44,Jerome Jordan,https://www.basketball-reference.com/players/j/jordaje01.html,15.2,15.2,5.5,-0.4,1.7,0.168,-0.6,1.2,0.5,0.0,491.0,3.4
2010,45,Paulão Prestes,https://www.basketball-reference.com/players/p/prestpa01.html,,,,,,,,,,,,
2010,46,Gani Lawal,https://www.basketball-reference.com/players/l/lawalga01.html,,,,,,,,,,,,
